DATA,ABERTURA,MAXIMA,MINIMA,FECHAMENTO,MACD,STOCHASTICS,ATR
2019-11-01 03:15:00,1.11664,1.11664,1.11589,1.11575,-1.658513949295465e-05,0.0,0.0007500000000000284
2019-11-01 03:30:00,1.11575,1.11592,1.11555,1.1159,-2.936593692075703e-05,16.66666666665433,0.0004999999999999449
2019-11-01 03:45:00,1.11592,1.11607,1.11579,1.11605,-2.864454633323815e-05,33.333333333333336,0.0007199999999998319
2019-11-01 04:00:00,1.11606,1.11606,1.11535,1.11535,-6.504122240919035e-05,0.0,0.001100000000000101
2019-11-01 04:15:00,1.11536,1.11536,1.11495,1.11496,-0.0001086953715722141,0.0,0.0004099999999997994
2019-11-01 04:30:00,1.11496,1.11515,1.11485,1.11519,-0.0001210044446743265,13.609467455618736,0.000300000000000189
2019-11-01 04:45:00,1.11519,1.11519,1.11477,1.11495,-0.00013841654872039403,0.0,0.0004999999999999449
2019-11-01 05:00:00,1.11496,1.11496,1.11463,1.11469,-0.0001600298201404105,0.0,0.0005800000000000249
2019-11-01 05:15:00,1.11469,1.11469,1.1144,1.11438,-0.00018688982997043838,0.0,0.00031999999999987594
2019-11-01 05:30:00,1.1144,1.11458,1.11432,1.11437,-0.00019842676364412125,0.0,0.0004900000000001015
2019-11-01 05:45:00,1.11438,1.11485,1.11401,1.11481,-0.00017124498744714982,19.383259911894143,0.0012300000000000644
2019-11-01 06:00:00,1.11482,1.11502,1.11463,1.11524,-0.00011825586347670078,38.325991189424165,0.0008999999999999009
2019-11-01 06:15:00,1.11523,1.11578,1.11523,1.11553,-5.742997286553429e-05,51.101321585895626,0.0005500000000000504
2019-11-01 06:30:00,1.11555,1.11566,1.11536,1.11569,-1.1078738639919118e-06,78.57142857143235,0.000300000000000189
2019-11-01 06:45:00,1.11567,1.11574,1.1155,1.11554,3.0529854064250805e-05,69.64285714285478,0.00024000000000001798
2019-11-01 07:00:00,1.11554,1.11574,1.11538,1.11552,5.2199766235938366e-05,68.45238095238395,0.00045000000000006146
2019-11-01 07:15:00,1.11551,1.11551,1.11495,1.11529,5.248117041820697e-05,69.69696969695593,0.0016199999999999548
2019-11-01 07:30:00,1.11521,1.11521,1.11303,1.11389,-3.9046699515311607e-05,0.0,0.0021800000000000708
2019-11-01 07:45:00,1.11388,1.11388,1.11315,1.11312,-0.00015090545598483177,0.0,0.0007399999999999629
2019-11-01 08:00:00,1.11315,1.11386,1.11315,1.11389,-0.0001712981575913236,29.961089494161442,0.0021199999999998997
2019-11-01 08:15:00,1.11388,1.11522,1.11388,1.11527,-8.567953698415174e-05,83.6575875486345,0.0013400000000001189
2019-11-01 08:30:00,1.11527,1.11527,1.11486,1.11488,-4.673846628476831e-05,68.48249027237395,0.0005800000000000249
2019-11-01 08:45:00,1.11489,1.11502,1.11467,1.11469,-2.8386442853815477e-05,61.08949416341918,0.0006999999999999229
2019-11-01 09:00:00,1.11473,1.11686,1.11473,1.11537,3.389528483904299e-05,87.54863813229171,0.0021299999999999653
2019-11-01 09:15:00,1.11535,1.1167,1.11508,1.11617,0.00013337455770864501,100.0,0.0016199999999999548
2019-11-01 09:30:00,1.11617,1.11659,1.11578,1.11591,0.00018338450674481753,91.47540983606068,0.0008099999999999774
2019-11-01 09:45:00,1.11592,1.11656,1.11592,1.11653,0.00025713983193103565,100.0,0.0009600000000000719
2019-11-01 10:00:00,1.11653,1.11709,1.11621,1.11688,0.0003264896572259154,100.0,0.0008799999999999919
2019-11-01 10:15:00,1.11687,1.11713,1.11665,1.11689,0.00036673509775113946,100.0,0.00048000000000003595
2019-11-01 10:30:00,1.1169,1.11715,1.11668,1.11702,0.0003931132043120423,100.0,0.0004700000000001925
2019-11-01 10:45:00,1.11703,1.11713,1.11672,1.11685,0.0003876227494603304,95.64102564102532,0.0006899999999998574
2019-11-01 11:00:00,1.11685,1.11708,1.11637,1.11644,0.0003426898844734919,85.12820512820939,0.0007099999999999884
2019-11-01 11:15:00,1.11647,1.11667,1.11636,1.1166,0.00031075903137258674,86.581469648566,0.0005999999999999339
2019-11-01 11:30:00,1.11662,1.11697,1.11643,1.11696,0.00030266580075489753,97.42489270386478,0.0005399999999999849
2019-11-01 11:45:00,1.11697,1.11697,1.11673,1.11681,0.0002755781539468624,90.98712446352675,0.0004900000000001015
