DATA,ABERTURA,MAXIMA,MINIMA,FECHAMENTO,BINARIO
2020-04-01 03:05:00,1.18891,1.18961,1.18873,1.18921,0
2020-04-01 03:10:00,1.18921,1.19005,1.18921,1.18931,1
2020-04-01 03:15:00,1.18933,1.19026,1.18933,1.18885,1
2020-04-01 03:20:00,1.18886,1.18952,1.18846,1.18951,0
2020-04-01 03:25:00,1.18951,1.18994,1.18951,1.18936,1
2020-04-01 03:30:00,1.18933,1.18933,1.18874,1.18917,0
2020-04-01 03:35:00,1.18917,1.18917,1.18886,1.18928,1
2020-04-01 03:40:00,1.18927,1.18956,1.18877,1.18905,0
2020-04-01 03:45:00,1.18909,1.19133,1.18909,1.18985,1
2020-04-01 03:50:00,1.18983,1.19109,1.18951,1.19088,1
2020-04-01 03:55:00,1.19086,1.19256,1.19086,1.19148,1
2020-04-01 04:00:00,1.19142,1.19142,1.19069,1.19159,0
2020-04-01 04:05:00,1.19158,1.19244,1.19089,1.19242,1
2020-04-01 04:10:00,1.19242,1.19242,1.19157,1.19205,1
2020-04-01 04:15:00,1.19207,1.19292,1.19207,1.19313,1
2020-04-01 04:20:00,1.19313,1.19428,1.19313,1.19328,1
2020-04-01 04:25:00,1.19328,1.19353,1.1923,1.19257,0
2020-04-01 04:30:00,1.19257,1.19304,1.19236,1.19248,1
2020-04-01 04:35:00,1.19248,1.19248,1.19187,1.19296,0
2020-04-01 04:40:00,1.19295,1.19327,1.19249,1.19277,1
2020-04-01 04:45:00,1.19276,1.19339,1.19249,1.19356,-1
2020-04-01 04:50:00,1.19356,1.19356,1.1923,1.19233,0
2020-04-01 04:55:00,1.19234,1.19234,1.19147,1.19303,0
2020-04-01 05:00:00,1.19303,1.19385,1.19303,1.19294,1
2020-04-01 05:05:00,1.19292,1.19292,1.19149,1.19279,0
2020-04-01 05:10:00,1.19279,1.19384,1.19279,1.19379,1
2020-04-01 05:15:00,1.19385,1.19436,1.19344,1.19413,1
2020-04-01 05:20:00,1.1941,1.19481,1.19376,1.19424,1
2020-04-01 05:25:00,1.19425,1.19425,1.19334,1.19361,0
